iter	Passed	Remaining
621	412414	250631
622	413122	249995
623	413814	249349
624	414388	248632
625	415031	247958
626	415625	247253
627	416212	246546
628	416931	245916
629	417637	245279
630	418540	244756
631	419226	244106
632	420007	243511
633	421049	243066
634	422027	242582
635	423027	242110
636	423768	241488
637	424582	240907
638	425411	240334
639	426262	239772
640	426900	239090
641	427580	238432
642	428379	237840
643	429210	237265
644	430199	236776
645	431180	236281
646	432105	235754
647	432859	235133
648	433714	234566
649	434582	234005
650	435550	233498
651	436380	232914
652	437253	232353
653	437953	231699
654	438662	231051
655	439419	230427
656	440020	229721
657	440638	229024
658	441265	228333
659	441983	227688
660	442616	226999
661	443285	226329
662	443901	225633
663	444577	224967
664	445196	224272
665	445837	223588
666	446477	222904
667	447048	222185
668	447689	221502
669	448282	220796
670	448894	220098
671	449534	219415
672	450171	218731
673	450884	218083
674	451529	217403
675	452194	216732
676	452790	216028
677	453377	215320
678	454038	214648
679	454634	213945
680	455301	213276
681	455993	212618
682	456646	211942
683	457318	211275
684	458020	210622
685	458646	209934
686	459107	209171
687	459748	208490
688	460425	207826
689	460980	207107
690	461624	206428
691	462217	205726
692	462829	205034
693	463459	204349
694	464111	203674
695	464727	202984
696	465320	202284
697	466002	201622
698	466617	200932
699	467204	200230
700	467942	199593
701	468562	198905
702	469136	198198
703	469756	197511
704	470440	196850
705	471083	196173
706	471760	195510
707	472457	194855
708	473104	194179
709	473550	193421
710	474120	192715
711	474846	192072
712	475607	191443
713	476319	190794
714	476917	190099
715	477609	189442
716	478338	188800
717	479092	188167
718	479874	187544
719	480549	186880
720	481138	186182
721	481655	185457
722	482304	184783
723	482945	184106
724	483559	183419
725	484176	182733
726	484766	182037
727	485464	181382
728	486065	180690
729	486702	180013
730	487282	179314
731	487870	178619
732	488526	177948
733	489161	177270
734	489788	176590
735	490426	175913
736	491048	175231
737	491648	174541
738	492321	173878
739	492958	173201
740	493562	172513
741	494163	171825
742	494774	171140
743	495312	170429
744	495904	169739
745	496568	169072
746	497124	168370
747	497682	167668
748	498290	166983
749	498996	166332
750	499724	165687
751	500518	165064
752	501116	164376
753	501730	163694
754	502340	163011
755	503059	162363
756	503727	161698
757	504388	161031
758	504940	160330
759	505572	159654
760	506156	158963
761	506746	158275
762	507463	157626
763	508075	156944
764	508767	156288
765	509277	155575
766	509977	154921
767	510534	154223
768	511071	153520
769	511755	152861
770	512475	152213
771	513068	151528
